"idema","lon","fint","prec","alt","vmax","vv","dv","lat","dmax","ubi","hr","tamin","ta","tamax","pres","stdvv","ts","pres_nmar","tpr","vis","stddv","inso","tss5cm","psoltp","pliqt","rviento","vmaxu","dvu","pacutp","vvu","stdvvu","stddvu","dmaxu","tss20cm","geo925","nieve","geo700","geo850.value","geo850.present"
"1226X",-5.476919,"2021-03-23T00:00:00",0,750,2.8,1.2,148,43.095177,145,"CUEVAS DE FELECHOSA",88,2.8,2.8,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1234P",-5.819274,"2021-03-23T00:00:00",0,170,1,0.1,330,43.274883,52,"MIERES-BAÍÑA",95,5.8,5.8,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1249X",-5.873889,"2021-03-23T00:00:00",0,336,1.3,0.3,212,43.353333,265,"OVIEDO",92,6.1,6.1,6.8,982.1,0.2,5.6,1023.4,5,12.6,28,0,10.7,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA
"1272B",-6.386539,"2021-03-23T00:00:00",0,280,1,0.1,130,43.290276,150,"SOUTU  LA BARCA",93,4.1,4.1,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1276F",-6.256944,"2021-03-23T00:00:00",0,670,0,0,183,43.1,160,"POLA DE SOMIEDO-DEPURADORA",97,2.7,2.7,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1279X",-6.230729,"2021-03-23T00:00:00",0,240,1,0.2,229,43.425,57,"CAMUÑO",98,4.7,4.7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1283U",-6.469998,"2021-03-23T00:00:00",0,60,6.1,2.4,216,43.569164,73,"CABO BUSTO",78,8.1,8.2,10.1,1013.9,NA,8.3,1021.3,4.6,20,NA,0,10.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1297E",-7.017618,"2021-03-23T00:00:00",0,1020,3.3,1.5,234,42.768578,230,"CERVANTES-BAZAL",36,9,9.3,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1302F",-6.472407,"2021-03-23T00:00:00",0,1310,4.7,1.8,37,42.95527,55,"DEGAÑA  COTO CORTÉS",69,4.4,4.7,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1309C",-6.884876,"2021-03-23T00:00:00",0,780,3.5,1,161,43.027412,112,"SAN ANTOLIN DE IBIAS-LINARES",68,7.9,8.8,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1327A",-6.673332,"2021-03-23T00:00:00",0,410,1.6,0.3,105,43.465553,272,"ONETA",88,7.5,7.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1331A",-7.031388,"2021-03-23T00:00:00",0,40,4.2,2,213,43.524723,192,"CASTROPOL",92,6.2,6.2,6.8,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1341B",-7.06098,"2021-03-23T00:00:00",0,340,4.1,0.4,154,43.415546,175,"OURIA DE TARAMUNDI",99,6,6.2,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1342X",-7.082971,"2021-03-23T00:00:00",0,43,4.3,3.5,164,43.540653,157,"RIBADEO  VILAFRAMIL",96,6.2,6.5,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1344X",-7.361736,"2021-03-23T00:00:00",0,125,NA,NA,NA,43.43133,NA,"MONDOÑEDO",92,4.4,4.4,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1347T",-7.357091,"2021-03-23T00:00:00",0,80,NA,NA,NA,43.651047,NA,"BURELA",87,7.7,7.7,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1351",-7.684722,"2021-03-23T00:00:00",0,80,8.7,3.8,125,43.78611,111,"ESTACA DE BARES",93,10.1,10.1,10.8,1010.8,NA,8.9,1020.6,9,NA,NA,0,11.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1354C",-8.262222,"2021-03-23T00:00:00",0,4,2.5,1.5,19,43.47639,344,"FERROL-LA GRAÑA",91,8.1,8.2,8.9,1020.5,NA,NA,1021,6.8,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1363X",-7.861476,"2021-03-23T00:00:00",0,343,NA,NA,NA,43.44597,NA,"AS PONTES A AEROSA",93,3.7,3.7,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1387",-8.421517,"2021-03-23T00:00:00",0,58,2.9,1.7,143,43.36597,150,"A CORUÑA",78,10.8,10.8,11.4,1013.3,0.4,8.8,1021.4,7.1,20,15,0,12.6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,13,NA,NA,NA,NA,NA
"1387D",-8.4418,"2021-03-23T00:00:00",0,132,5.2,4.9,132,43.363308,134,"BENS-A CORUÑA",79,9.9,10,11,1004.9,0.2,NA,1037.2,6.5,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1387E",-8.371975,"2021-03-23T00:00:00",0,98,3.1,2.3,160,43.306953,150,"A CORUÑA/ALVEDRO",89,7.2,7.7,8.4,1008.7,0.2,6.1,1021.4,5.9,30,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1390X",-8.711001,"2021-03-23T00:00:00",0,98,NA,NA,NA,43.203583,NA,"CARBALLO",95,4.8,4.8,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1393",-9.210829,"2021-03-23T00:00:00",0,50,5.9,2.7,235,43.160557,290,"CABO VILAN",80,10.8,11,11.7,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1399",-9.046929,"2021-03-23T00:00:00",0,287,NA,NA,NA,43.057446,NA,"VIMIANZO-CASTRELO",96,6.5,6.7,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1400",-9.291434,"2021-03-23T00:00:00",0,230,NA,NA,NA,42.924828,NA,"FISTERRA",76,10.1,10.1,10.7,993,NA,8.3,1020.8,6.1,NA,NA,0,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1406X",-8.99369,"2021-03-23T00:00:00",0,340,NA,NA,NA,42.93525,NA,"MAZARICOS-A PICOTA",88,7.2,7.7,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1410X",-8.022249,"2021-03-23T00:00:00",0,500,NA,NA,NA,43.037876,NA,"SOBRADO DOS MONXES",100,1.5,1.5,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1428",-8.410515,"2021-03-23T00:00:00",0,370,2.6,1.1,180,42.888012,190,"SANTIAGO DE COMPOSTELA/LABACOLLA",71,8.3,8.9,9.1,977.9,0.2,6.6,1022,3.9,30,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA
"1435C",-8.876227,"2021-03-23T00:00:00",0,128,1,0.1,87,42.80014,122,"NOIA",84,8.3,8.3,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1437P",-8.923611,"2021-03-23T00:00:00",NA,685,NA,2.9,187,42.720554,NA,"EVC_NOIA",62,11.1,11.4,11.6,943,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1442U",-8.892333,"2021-03-23T00:00:00",0,10,NA,NA,NA,42.643887,NA,"BOIRO",88,6.7,6.7,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1466A",-8.257892,"2021-03-23T00:00:00",0,435,6,4.1,119,42.700886,115,"SILLEDA",78,8.3,8.3,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1468X",-8.501806,"2021-03-23T00:00:00",0,269,NA,NA,NA,42.69361,NA,"A ESTRADA",85,7.2,7.2,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1473A",-8.627222,"2021-03-23T00:00:00",0,100,3,2.4,65,42.738335,74,"PADRÓN",79,5.9,6,7,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1475X",-8.555833,"2021-03-23T00:00:00",0,240,1.9,0.6,44,42.87611,35,"SANTIAGO DE COMPOSTELA",78,8,8.1,8.9,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1476R",-8.714807,"2021-03-23T00:00:00",0,210,NA,NA,NA,42.749836,NA,"CASAS DO PORTO",76,8.2,8.2,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1477V",-8.774642,"2021-03-23T00:00:00",0,32,2.1,1.6,156,42.584843,180,"VILAGARCIA DE AROUSA",83,7.9,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1484C",-8.615833,"2021-03-23T00:00:00",0,108,4.8,2.3,66,42.43833,58,"PONTEVEDRA",73,9,9.1,9.4,1007.1,0.6,7.8,1020.9,4.5,20,17,0,12.9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,13.1,NA,NA,NA,NA,NA
"1489A",-8.451243,"2021-03-23T00:00:00",0,395,2.5,1.3,355,42.40705,327,"A LAMA",88,4.3,4.3,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1495",-8.623765,"2021-03-23T00:00:00",0,261,1.5,0.7,350,42.238617,330,"VIGO/PEINADOR",74,9.1,9.2,9.6,990.5,0.3,6.8,1021.7,4.8,NA,140,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1496X",-8.724167,"2021-03-23T00:00:00",0,120,1.7,0.3,196,42.230556,327,"VIGO-O CASTRO",81,9.4,9.4,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1505",-7.457222,"2021-03-23T00:00:00",0,445,1.5,0.8,151,43.11139,158,"LUGO/ROZAS",91,2.3,2.3,3.1,969.2,0.1,-0.1,1023.9,1.1,13.9,19,0,9.7,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA
"1518A",-7.5525,"2021-03-23T00:00:00",0,442,1,0.1,159,42.998333,317,"LUGO-COL.FINGOI",90,4.7,4.7,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1521I",-7.499579,"2021-03-23T00:00:00",0,403,NA,NA,NA,42.845276,NA,"O PARAMO",92,4.6,4.6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1521X",-7.18517,"2021-03-23T00:00:00",0,1080,5,2.8,233,42.86377,235,"BECERREA-PENAMAIOR",59,9.4,9.4,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1535I",-7.704599,"2021-03-23T00:00:00",0,552,NA,0,35,42.63472,NA,"EVC_O SAVIÑAO",99,7.7,7.7,8.9,959,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1542",-6.414164,"2021-03-23T00:00:00",0,1530,3.9,2.3,165,42.994164,170,"PUERTO DE LEITARIEGOS",66,3.7,3.9,4.4,851.8,NA,1.8,NA,-2,20,NA,0,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1547.2,TRUE
"1549",-6.6,"2021-03-23T00:00:00",0,534,2.2,0.4,5,42.56389,158,"PONFERRADA",54,7.9,7.9,9.4,959.5,0.2,5.4,1023.5,-1,19,135,0,11.8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA
"1561I",-6.673564,"2021-03-23T00:00:00",0,770,NA,NA,NA,42.76604,NA,"VILLAR DE OTERO (LOS TROBOS)",62,4.5,4.5,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1583X",-6.99314,"2021-03-23T00:00:00",0,315,NA,NA,NA,42.41562,NA,"O BARCO DE VALDEORRAS",70,7.7,7.7,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1631E",-7.282498,"2021-03-23T00:00:00",0,840,4.2,2.5,313,42.339447,299,"POBRA DE TRIVES SAN MAMEDE",70,4.9,4.9,5.9,924.9,NA,4.1,NA,0,10.1,NA,0,8.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,839.1,NA,NA,NA,NA
"1639X",-7.383609,"2021-03-23T00:00:00",0,990,1.5,0.3,233,42.260277,200,"CHANDREXA DE QUEIXA",77,4.2,4.2,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1658",-7.191741,"2021-03-23T00:00:00",0,612,NA,NA,NA,42.58853,NA,"FOLGOSO DO COUREL",79,4.7,4.7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1679A",-7.510804,"2021-03-23T00:00:00",0,291,0.9,0,355,42.53177,355,"MONFORTE DE LEMOS",85,4.3,4.3,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1690A",-7.859722,"2021-03-23T00:00:00",0,143,1.9,1.1,264,42.32528,260,"OURENSE",75,6.4,6.4,7.7,1003.4,0.4,2.1,1021.7,2.3,15.6,15,0,12,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA
"1696O",-8.277961,"2021-03-23T00:00:00",0,610,NA,NA,NA,42.468056,NA,"BEARIZ",88,1.8,1.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1700X",-8.0925,"2021-03-23T00:00:00",0,400,1,0.1,18,42.42139,25,"O CARBALLIÑO",81,6.2,6.2,7.2,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1701X",-8.129121,"2021-03-23T00:00:00",0,112,NA,NA,NA,42.29988,NA,"RIBADAVIA",84,7.1,7.1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1706A",-7.796051,"2021-03-23T00:00:00",0,492,NA,NA,NA,42.182903,NA,"ALLARIZ-RIMELO",64,6.4,6.4,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1719",-8.281009,"2021-03-23T00:00:00",0,560,NA,NA,NA,42.217995,NA,"A CAÑIZA",78,7.8,7.8,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1723X",-8.4927,"2021-03-23T00:00:00",0,90,NA,NA,NA,42.182224,NA,"PONTEAREAS-CANEDO",89,6.7,6.7,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1730E",-8.847444,"2021-03-23T00:00:00",0,55,NA,NA,NA,41.94398,NA,"O ROSAL",83,7.7,7.7,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1738U",-7.988838,"2021-03-23T00:00:00",0,730,NA,NA,NA,41.934116,NA,"MUIÑOS-PRADO",62,6.6,6.6,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1740",-4.12433,"2021-03-23T00:00:00",0,150,1.6,1.1,167,43.37724,155,"ALTAMIRA",91,5.7,5.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005Y",-2.782777,"2021-03-23T00:00:00",0,1197,NA,NA,NA,41.967773,NA,"VINUESA",38,5.1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017Y",-2.494163,"2021-03-23T00:00:00",0,1260,10.7,6.4,343,41.99583,330,"BARRIOMARTIN-EL ROBLEDO",53,3,3,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2030",-2.483063,"2021-03-23T00:00:00",0,1082,3.1,0.6,185,41.775017,8,"SORIA",51,2.4,2.4,3.8,896.3,0.3,-0.6,NA,-6.7,20,54,0,7.8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,8.1,NA,NA,NA,1509.2,TRUE
"2044B",-2.507534,"2021-03-23T00:00:00",0,1100,3.1,1.1,79,41.600582,327,"LUBIA-CEDER",61,-0.9,-0.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2048A",-2.420281,"2021-03-23T00:00:00",0,978,2.8,0.7,79,41.41944,47,"MORON DE ALMAZAN ",81,-3.1,-3.1,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2059B",-2.783338,"2021-03-23T00:00:00",0,1042,3.8,1.2,155,41.34972,280,"LA RIBA DE ESCALOTE",70,-0.4,-0.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2084Y",-3.047008,"2021-03-23T00:00:00",0,960,NA,NA,NA,41.721848,NA,"UCERO",79,-1.9,-1.7,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2092",-3.086949,"2021-03-23T00:00:00",0,932,1,0,163,41.589443,115,"BURGO DE OSMA-POZUELOS",79,-1.1,-1.1,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2096B",-3.251385,"2021-03-23T00:00:00",0,1150,2.7,0.1,312,41.373608,212,"LICERAS-CAÑADA DEHESA",71,1.7,2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2106B",-3.381929,"2021-03-23T00:00:00",0,955,2.6,1.8,341,41.745846,322,"CORUÑA DEL CONDE",64,1.3,1.3,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2117D",-3.742777,"2021-03-23T00:00:00",0,790,3,0.8,263,41.665836,226,"ARANDA DE DUERO",67,-0.7,-0.7,0.5,929.8,NA,-1.2,NA,-6,15.9,NA,0,6.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,831.3,NA,NA,NA,NA
"2135A",-3.507234,"2021-03-23T00:00:00",0,993,3.5,1.9,211,41.372757,210,"FRESNO DE CANTIESPINO",84,-0.5,-0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2140A",-3.785871,"2021-03-23T00:00:00",0,1135,2.8,0.7,70,41.464554,100,"ALDEANUEVA DE SERREZUELA-EL CERRO",64,3.6,3.6,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2150H",-3.475165,"2021-03-23T00:00:00",0,1798,5.3,2,220,41.19193,191,"LA PINILLA  ESTACIÓN DE ESQUÍ",56,1.8,2.2,2.5,822.3,NA,0,NA,-5.7,NA,NA,0,2.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1530.6,TRUE
"2166Y",-4.124787,"2021-03-23T00:00:00",0,756,NA,NA,NA,41.593098,NA,"PEÑAFIEL(FABRICA DE QUESOS)",94,0.9,1.2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2172Y",-4.405497,"2021-03-23T00:00:00",0,725,2.4,0.9,240,41.611877,105,"SARDÓN DE DUERO",81,0.7,0.7,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2182C",-3.790216,"2021-03-23T00:00:00",0,1107,1.1,0.4,157,41.13386,135,"RADES",70,2,2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2192C",-4.26545,"2021-03-23T00:00:00",0,795,2,0.7,124,41.383553,50,"CUELLAR",85,-1.1,-1.1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2235U",-4.520031,"2021-03-23T00:00:00",0,1140,4.6,2.5,292,42.87062,272,"CERVERA DE PISUERGA",35,3.2,3.3,4,891.7,NA,-1.5,NA,-10.8,20,NA,0,5.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526.2,TRUE
"2243A",-4.277134,"2021-03-23T00:00:00",0,910,3.9,2.3,82,42.79806,75,"AGUILAR DE CAMPOO",83,-1.2,-1.2,-0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2276B",-4.575109,"2021-03-23T00:00:00",0,908,3.2,1.9,352,42.568817,335,"VILLAELES DE VALDAVIA",76,-0.7,-0.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285B",-4.001111,"2021-03-23T00:00:00",0,869,4.8,4,79,42.523888,65,"VILLADIEGO (DEPÓSITO DE AGUA)",60,2.3,2.7,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290Y",-4.198909,"2021-03-23T00:00:00",0,771,1.3,0.5,70,42.251225,352,"PEDROSA DEL PRÍNCIPE",81,-0.7,-0.7,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2296A",-1.976675,"2021-03-23T00:00:00",0,1039,2.7,1.6,149,41.775555,137,"OLVEGA-CAMINO VEGAFRÍA",79,0.1,0.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2298",-3.131688,"2021-03-23T00:00:00",0,1080,6.1,0.9,204,41.95967,126,"PALACIOS DE LA SIERRA",28,5.9,6,6.6,897.3,NA,2.3,NA,-11.2,20,NA,0,7.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520.7,TRUE
"2302N",-3.109758,"2021-03-23T00:00:00",0,1197,4.6,1.9,103,42.146473,130,"MONTERRUBIO DE LA DEMANDA",87,-0.4,-0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311Y",-3.767707,"2021-03-23T00:00:00",0,884,6,3.4,34,42.10522,27,"VILLAMAYOR DE LOS MONTES",74,2.9,3.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
